racial harmony,Do you think it is important for the government to actively promote racial harmony through policies and campaigns?,How do you feel about the role of interfaith dialogues and community events in fostering better understanding between different racial groups?,"In your opinion, should schools focus more on teaching the history and cultures of all racial groups in Singapore to promote mutual respect?",Do you believe that media representation of different racial groups plays a significant role in shaping public attitudes towards racial harmony?,What is your view on the enforcement of laws that penalize racial discrimination and hate speech?,Do you think that quotas for housing and public service representation help or hinder racial integration?,How important do you think it is for individuals to take personal responsibility in promoting racial harmony in their daily lives?,Do you support the idea of mandatory cultural sensitivity training for all employees in public and private sectors?,"In your opinion, does the celebration of multicultural festivals contribute to a more inclusive society?",What role do you think community leaders and influencers should play in promoting racial harmony and addressing racial tensions?
national service,"Do you think national service should be mandatory for all eligible male citizens and permanent residents, or should it be voluntary?","How do you feel about the current duration of national service? Is it too long, too short, or just right?","Do you believe that national service should be extended to include women, or should it remain primarily for men?","What is your opinion on the benefits provided to those who complete national service, such as priority in public housing and job placements?",How important do you think it is for national service to foster a sense of national identity and unity among Singaporeans?,"Do you think the training and duties in national service should be more focused on modern warfare and technology, or should they maintain a balance with traditional military roles?","Are you in favor of or against the idea of allowing individuals to choose their roles within national service, based on their skills and interests?","Do you believe that the government should increase support and resources for reservists, especially in terms of mental health and career development?","In your opinion, should there be more public recognition and appreciation for those who serve in national service?",Do you think the economic impact of national service on individuals and families should be a significant consideration in policy discussions?
compulsory education,"Do you think compulsory education should start at an earlier age, such as four years old, or should it remain as it is?","How important do you believe it is for the curriculum to include more practical skills, like financial literacy and basic life skills?","Should the government provide more support to private schools to ensure a more balanced education system, or should the focus be on improving public schools?","Do you think the current system of streaming students based on academic performance is fair and beneficial, or should it be reformed?",  ,"Do you believe that schools should play a larger role in promoting mental health and well-being, or should this responsibility primarily lie with families and healthcare providers?","Should there be a national standardized test at the end of primary education, or should assessments be more flexible and school-based?",How important do you think it is for schools to incorporate more technology and digital learning tools in the classroom?,Do you support the idea of extending compulsory education to include at least one year of vocational training or apprenticeship?,"Should there be more government funding and support for after-school programs and extracurricular activities, or should these be primarily the responsibility of parents and the community?"
environment,"Do you think the government should prioritize economic growth over environmental protection, or should environmental concerns take precedence?",How important do you believe it is for Singapore to achieve carbon neutrality by 2050?,Do you support the idea of increasing taxes on polluting industries to encourage cleaner practices?,Should public transportation be made more affordable to reduce reliance on private vehicles and lower carbon emissions?,"Do you believe that individuals have a significant role to play in reducing plastic waste, or should the responsibility mainly lie with corporations?",How do you feel about the governmentâ€™s efforts to expand green spaces and parks in urban areas?,"Do you think Singapore should invest more in renewable energy sources, such as solar power, even if it means higher initial costs?",Are you in favor of stricter regulations on industrial waste disposal to protect local ecosystems?,"Should Singapore collaborate more with neighboring countries to address regional environmental issues, such as haze from forest fires?",Do you believe that education on environmental sustainability should be mandatory in schools to raise awareness from a young age?
economy,"Do you think the government should play a more active role in regulating the economy, or should it prioritize market-driven growth?",How do you feel about increasing corporate taxes to fund social welfare programs?,Should the government focus more on supporting small and medium enterprises (SMEs) or on attracting large multinational corporations?,"Do you believe that Singapore should prioritize environmental sustainability in its economic policies, even if it means slower economic growth?",What is your opinion on the government's role in ensuring affordable housing for all Singaporeans?,Do you think the minimum wage should be increased to ensure a living wage for all workers?,How important do you think it is for Singapore to maintain a strong manufacturing sector in the face of global competition?,"Should Singapore invest more in technology and innovation to drive economic growth, or should it focus on traditional industries?",Do you support the idea of a universal basic income to address income inequality?,How do you feel about Singapore's reliance on foreign labor to support its economy?
energy,"Do you think the government should invest more in renewable energy sources like solar and wind, or focus on traditional energy sources like natural gas?",How important do you believe energy efficiency should be in the design and construction of new buildings in Singapore?,Do you support or oppose the idea of increasing subsidies for electric vehicles to encourage their adoption in Singapore?,"In your opinion, should the government prioritize energy security by maintaining a diverse mix of energy sources, or should it focus on transitioning to a single renewable energy source?",Do you think the public should be more involved in the decision-making process regarding energy policies in Singapore?,How do you feel about the potential economic impact of transitioning to renewable energy on jobs and industries in Singapore?,"Do you believe that individual actions, such as reducing energy consumption at home, are as important as government policies in addressing energy challenges?",Do you support the implementation of a carbon tax to encourage businesses and individuals to reduce their carbon footprint?,What role do you think international cooperation should play in Singapore's energy policy and strategies?,Do you think the government should provide more incentives for companies to invest in research and development for new energy technologies?
family,"Do you think the government should provide more financial support to families with children, or should this be a personal responsibility?","How important do you believe it is for both parents to share the responsibilities of raising children, and should this be encouraged by policy?",Do you think same-sex couples should have the same rights to adoption and family formation as heterosexual couples?,"Should the government prioritize policies that help balance work and family life, or should this be left to individual families to manage?","Do you believe that the education system should play a larger role in supporting families, such as through after-school care and counseling services?","Should there be stricter regulations on divorce to protect the interests of children, or should couples have more freedom to make their own decisions?","Do you think the government should provide more support for single-parent families, or should they be self-sufficient?","How important is it for families to maintain traditional cultural practices, and should this be supported by the government?","Should there be more community programs and resources available to support families in crisis, or should families rely on their own networks?",Do you believe that the media and entertainment industry should be more responsible in portraying diverse family structures and values?
tax,"Do you think the tax system in Singapore should be more progressive, with higher rates for higher incomes?",Do you believe that reducing corporate taxes would encourage more businesses to invest in Singapore?,How do you feel about the idea of introducing a wealth tax to fund social services?,"Should the government increase GST (Goods and Services Tax) to fund healthcare and education, or should it find other ways to raise revenue?",Do you think tax incentives for businesses should be more focused on small and medium enterprises (SMEs) rather than large corporations?,Should the government provide more tax breaks for individuals who contribute to environmental sustainability initiatives?,"How do you feel about the current level of property taxes? Should they be increased, decreased, or remain the same?",Do you believe that tax relief for low-income families should be expanded to help reduce income inequality?,Should the government introduce a digital services tax to ensure that tech companies pay a fair share of taxes in Singapore?,Do you think the tax system should include more deductions and credits for education and healthcare expenses?
justice,Do you think the justice system in Singapore should focus more on rehabilitation or on punishment for offenders?,Should the government invest more in crime prevention programs or in increasing the number of law enforcement officers?,"How important do you think it is for the justice system to ensure equal treatment of all individuals, regardless of their socioeconomic status?","Do you believe that mandatory minimum sentences help reduce crime, or do they lead to unfair outcomes?","Should victims of crime have a greater role in the legal process, such as the opportunity to provide impact statements?","Do you think the use of technology, like AI and data analytics, in the justice system can improve fairness and efficiency?",How do you feel about the use of community service as an alternative to incarceration for non-violent offenses?,"Do you support the idea of restorative justice practices, where offenders make amends to their victims and the community?",Should the justice system prioritize the needs of victims or the rights of the accused during trials?,Do you think there should be more transparency and public access to court proceedings and decisions?
immigration,Do you think Singapore should have more open immigration policies to attract skilled workers?,How important do you think it is for immigrants to integrate into Singaporean culture and society?,"Do you believe that the government should provide more support for the integration of immigrants, such as language and job training programs?",Are you in favor of increasing the number of temporary work visas to address labor shortages in certain industries?,Do you think that the presence of a diverse immigrant population enhances Singapore's cultural and economic landscape?,Do you believe that immigration policies should prioritize family reunification or economic needs?,How do you feel about the idea of setting a quota for the number of immigrants allowed into Singapore each year?,"Do you think that immigrants should be granted the same rights and benefits as Singaporean citizens, such as access to public healthcare and education?","Do you support the idea of a points-based system for immigration, where applicants are assessed based on skills, education, and language proficiency?",Do you think that stricter border controls and enforcement are necessary to manage the flow of immigrants into Singapore?
